TDF;COMB
Skills;Capability
Knowledge;Capability
Financial_resources;Opportunity
Material_resources;Opportunity
Workforce_time;Opportunity
Legal_context;Opportunity
Biophysical_context;Opportunity
Farm_household_context;Opportunity
Peer_group_influence;Opportunity
Socio_political_influence;Opportunity
Optimism_future_orientation;Motivation
Environmental_beliefs;Motivation
Identity;Motivation
Noneconomic_goals;Motivation
Economc_goals;Motivation
Emotions;Motivation
Habits_routines;Motivation
